,zipcode,type,commoncity,county,areacode
414,85751,PO Box,Tucson,Pima County,Area Code 520
415,85752,PO Box,Tucson,Pima County,Area Code 520
416,85754,PO Box,Tucson,Pima County,Area Code 520
417,85755,Standard,"Tucson, Oro Valley",Pima County,Area Code 520
418,85756,Standard,Tucson,Pima County,Area Code 520
419,85757,Standard,Tucson,Pima County,Area Code 520
420,85775,Unique,Tucson,Pima County,Area Code 520
421,85777,Unique,Tucson,Pima County,Area Code 520
422,85901,Standard,Show Low,Navajo County,Area Code 928
423,85902,PO Box,Show Low,Navajo County,Area Code 928
424,85911,PO Box,"Cibecue, Show Low",Navajo County,Area Code 928
425,85912,PO Box,"White Mountain Lake, White Mtn Lk",Navajo County,Area Code 928
426,85920,Standard,Alpine,Apache County,Area Code 928
427,85922,Standard,Blue,Greenlee County,Area Code 928
428,85923,PO Box,Clay Springs,Navajo County,Area Code 928
429,85924,Standard,Concho,Apache County,Area Code 928
430,85925,Standard,Eagar,Apache County,Area Code 928
431,85926,PO Box,Fort Apache,Navajo County,Area Code 928
432,85927,Standard,Greer,Apache County,Area Code 928
433,85928,Standard,Heber,Navajo County,Area Code 928
434,85929,Standard,Lakeside,Navajo County,Area Code 928
435,85930,PO Box,Mcnary,Apache County,Area Code 928
436,85931,PO Box,"Forest Lakes, Heber",Coconino County,Area Code 928
437,85932,PO Box,Nutrioso,Apache County,Area Code 928
438,85933,PO Box,Overgaard,Navajo County,Area Code 928
439,85934,PO Box,Pinedale,Navajo County,Area Code 928
440,85935,Standard,"Pinetop, Pinetop Lake, Pinetop Lakeside",Navajo County,Area Code 928
441,85936,Standard,Saint Johns,Apache County,Area Code 928
442,85937,Standard,Snowflake,Navajo County,Area Code 928
443,85938,Standard,Springerville,Apache County,Area Code 928
444,85939,PO Box,Taylor,Navajo County,Area Code 928
445,85940,PO Box,Vernon,Apache County,Area Code 928
446,85941,PO Box,Whiteriver,Apache County,Area Code 928
447,85942,PO Box,"Woodruff, Snowflake",Navajo County,Area Code 928
448,86001,Standard,Flagstaff,Coconino County,Area Code 520Area Code 928
449,86002,PO Box,Flagstaff,Coconino County,Area Code 928
450,86003,PO Box,Flagstaff,Coconino County,Area Code 928
451,86004,Standard,Flagstaff,Coconino County,Area Code 520Area Code 928
452,86005,Standard,Flagstaff,Coconino County,
453,86011,Unique,Flagstaff,Coconino County,Area Code 928
454,86015,Standard,"Bellemont, Flagstaff",Coconino County,Area Code 928
455,86016,PO Box,"Gray Mountain, Cameron",Coconino County,Area Code 928
456,86017,PO Box,"Munds Park, Flagstaff",Coconino County,Area Code 928
457,86018,PO Box,"Parks, Flagstaff, Parks Comm Po",Coconino County,Area Code 928
458,86020,PO Box,Cameron,Coconino County,Area Code 928
459,86021,PO Box,Colorado City,Mohave County,
460,86022,Standard,"Fredonia, Cane Beds",Coconino County,Area Code 928
461,86023,PO Box,Grand Canyon,Coconino County,Area Code 928
462,86024,Standard,"Happy Jack, Flagstaff",Coconino County,Area Code 928
463,86025,Standard,Holbrook,Navajo County,Area Code 928
464,86028,PO Box,"Petrified Forest Natl Pk, Holbrook, Petrified For",Apache County,Area Code 928
465,86029,PO Box,"Sun Valley, Holbrook",Navajo County,Area Code 928
466,86030,PO Box,Hotevilla,Navajo County,Area Code 928
467,86031,PO Box,"Indian Wells, Holbrook",Navajo County,Area Code 928
468,86032,PO Box,Joseph City,Navajo County,Area Code 928
469,86033,PO Box,Kayenta,Navajo County,Area Code 928
470,86034,PO Box,Keams Canyon,Navajo County,Area Code 928
471,86035,PO Box,Leupp,Coconino County,Area Code 928
472,86036,Standard,Marble Canyon,Coconino County,Area Code 928
473,86038,Standard,"Mormon Lake, Flagstaff",Coconino County,Area Code 520Area Code 928
474,86039,PO Box,"Kykotsmovi Village, Kykotsmovi",Navajo County,Area Code 928
475,86040,PO Box,"Page, Greenehaven",Coconino County,Area Code 928
476,86042,PO Box,Polacca,Navajo County,Area Code 928
477,86043,PO Box,Second Mesa,Navajo County,Area Code 928
478,86044,Standard,Tonalea,San Juan County,Area Code 928
479,86045,PO Box,Tuba City,Coconino County,Area Code 928
480,86046,Standard,Williams,Coconino County,Area Code 928
481,86047,Standard,Winslow,Navajo County,Area Code 928
482,86052,PO Box,"North Rim, Fredonia",Coconino County,Area Code 928
483,86053,PO Box,"Kaibeto, Tonalea",Coconino County,Area Code 928
484,86054,PO Box,"Shonto, Tonalea",Navajo County,Area Code 928
485,86301,Standard,Prescott,Yavapai County,Area Code 520Area Code 928
486,86302,PO Box,Prescott,Yavapai County,Area Code 928
487,86303,Standard,"Prescott, Groom Creek",Yavapai County,Area Code 520Area Code 928
488,86304,PO Box,Prescott,Yavapai County,Area Code 928
489,86305,Standard,"Prescott, Iron Springs",Yavapai County,Area Code 520Area Code 928
490,86312,PO Box,"Prescott Valley, Prescott Vly",Yavapai County,Area Code 928
491,86313,PO Box,Prescott,Yavapai County,Area Code 928
492,86314,Standard,"Prescott Valley, Prescott Vly",Yavapai County,Area Code 928
493,86315,Standard,"Prescott Valley, Prescott Vly",Yavapai County,Area Code 928
494,86320,PO Box,Ash Fork,Yavapai County,Area Code 928
495,86321,Standard,Bagdad,Yavapai County,Area Code 928
496,86322,Standard,Camp Verde,Yavapai County,Area Code 928
497,86323,Standard,Chino Valley,Yavapai County,Area Code 928
498,86324,Standard,Clarkdale,Yavapai County,Area Code 928
499,86325,Standard,Cornville,Yavapai County,Area Code 520Area Code 928
500,86326,Standard,Cottonwood,Yavapai County,Area Code 520Area Code 928
501,86327,Standard,"Dewey, Dewey Humblt, Dewey Humboldt",Yavapai County,Area Code 928
502,86329,PO Box,"Humboldt, Dewey Humblt, Dewey Humboldt",Yavapai County,Area Code 928
503,86330,Standard,"Prescott, Iron Springs",Yavapai County,Area Code 928
504,86331,PO Box,Jerome,Yavapai County,Area Code 928
505,86332,Standard,"Kirkland, Peeples Valley, Peeples Vly",Yavapai County,Area Code 928
506,86333,Standard,"Mayer, Bensch Ranch, Cordes Lakes, Spring Valle...",Yavapai County,Area Code 928
507,86334,Standard,Paulden,Yavapai County,Area Code 928
508,86335,Standard,Rimrock,Yavapai County,Area Code 928
509,86336,Standard,Sedona,Yavapai County,Area Code 928
510,86337,PO Box,Seligman,Yavapai County,Area Code 928
511,86338,PO Box,Skull Valley,Yavapai County,Area Code 928
512,86339,PO Box,Sedona,Yavapai County,Area Code 928
513,86340,PO Box,Sedona,Yavapai County,Area Code 928
514,86341,PO Box,Sedona,Yavapai County,Area Code 928
515,86342,PO Box,"Lake Montezuma, Lk Montezuma",Yavapai County,Area Code 928
516,86343,PO Box,Crown King,Yavapai County,Area Code 928
517,86351,Standard,Sedona,Yavapai County,Area Code 520Area Code 928
