,zipcode,type,commoncity,county,areacode
287,72158,PO Box,Benton,Saline County,Area Code 501
288,72160,Standard,Stuttgart,Arkansas County,Area Code 870
289,72164,PO Box,Sweet Home,Pulaski County,Area Code 501
290,72165,Standard,Thida,Independence County,
291,72166,Standard,Tichnor,Arkansas County,Area Code 870
292,72167,Standard,Traskwood,Saline County,Area Code 501
293,72168,Standard,Tucker,Jefferson County,Area Code 501
294,72169,PO Box,Tupelo,Jackson County,
295,72170,PO Box,Ulm,Prairie County,Area Code 870
296,72173,Standard,"Vilonia, Holland",Faulkner County,Area Code 501
297,72175,Standard,Wabbaseka,Jefferson County,Area Code 870
298,72176,Standard,Ward,Lonoke County,Area Code 870
299,72178,PO Box,West Point,White County,Area Code 501
300,72179,Standard,Wilburn,Cleburne County,
301,72180,PO Box,Woodson,Pulaski County,Area Code 501
302,72181,Standard,Wooster,Faulkner County,Area Code 501
303,72182,PO Box,Wright,Jefferson County,
304,72183,PO Box,Wrightsville,Pulaski County,Area Code 501
305,72189,Unique,Mc Crory,Woodruff County,Area Code 870
306,72190,PO Box,"North Little Rock, N Little Rock",Pulaski County,Area Code 501
307,72198,Standard,"North Little Rock, N Little Rock, Scholastic Parcels",Pulaski County,Area Code 501
308,72199,Unique,"North Little Rock, N Little Rock, Nlr, No Little Rock",Pulaski County,Area Code 501
309,72201,Standard,Little Rock,Pulaski County,Area Code 501
310,72202,Standard,Little Rock,Pulaski County,Area Code 501
311,72203,PO Box,Little Rock,Pulaski County,Area Code 501
312,72204,Standard,Little Rock,Pulaski County,Area Code 501
313,72205,Standard,Little Rock,Pulaski County,Area Code 501
314,72206,Standard,Little Rock,Pulaski County,Area Code 501
315,72207,Standard,"Little Rock, Cammack Village, Cammack Vlg",Pulaski County,Area Code 501
316,72209,Standard,Little Rock,Pulaski County,Area Code 501
317,72210,Standard,Little Rock,Pulaski County,Area Code 501
318,72211,Standard,Little Rock,Pulaski County,Area Code 501
319,72212,Standard,Little Rock,Pulaski County,Area Code 501
320,72214,PO Box,Little Rock,Pulaski County,Area Code 501
321,72215,PO Box,Little Rock,Pulaski County,Area Code 501
322,72216,PO Box,Little Rock,Pulaski County,Area Code 501
323,72217,PO Box,Little Rock,Pulaski County,Area Code 501
324,72219,PO Box,Little Rock,Pulaski County,Area Code 501
325,72221,PO Box,Little Rock,Pulaski County,Area Code 501
326,72222,PO Box,Little Rock,Pulaski County,Area Code 501
327,72223,Standard,Little Rock,Pulaski County,Area Code 501
328,72225,PO Box,Little Rock,Pulaski County,Area Code 501
329,72227,Standard,Little Rock,Pulaski County,Area Code 501
330,72231,PO Box,Little Rock,Pulaski County,Area Code 501
331,72255,Unique,Little Rock,,
332,72260,PO Box,Little Rock,Pulaski County,Area Code 501
333,72295,PO Box,Little Rock,Pulaski County,Area Code 501
334,72301,Standard,West Memphis,Crittenden County,Area Code 870
335,72303,PO Box,West Memphis,Crittenden County,Area Code 870
336,72310,PO Box,Armorel,Mississippi County,Area Code 870
337,72311,PO Box,Aubrey,Lee County,
338,72312,PO Box,Barton,Phillips County,Area Code 870
339,72313,PO Box,Bassett,Mississippi County,Area Code 870
340,72315,Standard,"Blytheville, Gosnell",Mississippi County,Area Code 870
341,72316,PO Box,Blytheville,Mississippi County,Area Code 870
342,72319,PO Box,"Gosnell, Blytheville",Mississippi County,Area Code 870
343,72320,Standard,Brickeys,Lee County,Area Code 870
344,72321,PO Box,Burdette,Mississippi County,Area Code 870
345,72322,PO Box,Caldwell,St. Francis County,Area Code 870
346,72324,Standard,"Cherry Valley, Birdeye",Cross County,Area Code 870
347,72325,PO Box,Clarkedale,Crittenden County,Area Code 870
348,72326,Standard,Colt,St. Francis County,Area Code 870
349,72327,Standard,"Crawfordsville, Crawfordsvlle",Crittenden County,Area Code 870
350,72328,PO Box,Crumrod,Phillips County,Area Code 870
351,72329,PO Box,Driver,Mississippi County,Area Code 870
352,72330,Standard,Dyess,Mississippi County,Area Code 870
353,72331,Standard,"Earle, Twist",Crittenden County,Area Code 870
354,72332,PO Box,Edmondson,Crittenden County,Area Code 870
355,72333,Standard,Elaine,Phillips County,Area Code 870
356,72335,Standard,Forrest City,St. Francis County,Area Code 870
357,72336,PO Box,Forrest City,St. Francis County,Area Code 870
358,72338,Standard,"Frenchmans Bayou, Frenchman Byu",Mississippi County,Area Code 870
