,zipcode,type,commoncity,county,areacode
167,99710,PO Box,"Fairbanks, Steese",Fairbanks North Star Borough,Area Code 907
168,99711,PO Box,"Fairbanks, Badger",Fairbanks North Star Borough,Area Code 907
169,99712,Standard,Fairbanks,Fairbanks North Star Borough,Area Code 907
170,99714,Standard,"Salcha, Fairbanks",Fairbanks North Star Borough,Area Code 907
171,99716,PO Box,"Two Rivers, Fairbanks",Fairbanks North Star Borough,Area Code 907
172,99720,PO Box,Allakaket,Yukon-Koyukuk Census Area,Area Code 907
173,99721,PO Box,"Anaktuvuk Pass, Anaktuvuk",North Slope Borough,Area Code 907
174,99722,PO Box,"Arctic Village, Arctic Vlg",Yukon-Koyukuk Census Area,Area Code 907
175,99723,PO Box,Barrow,North Slope Borough,Area Code 907
176,99724,PO Box,Beaver,Yukon-Koyukuk Census Area,Area Code 907
177,99725,PO Box,Ester,Fairbanks North Star Borough,Area Code 907
178,99726,PO Box,Bettles Field,Yukon-Koyukuk Census Area,Area Code 907
179,99727,PO Box,Buckland,Northwest Arctic Borough,Area Code 907
180,99729,PO Box,Cantwell,Matanuska-Susitna Borough,Area Code 907
181,99730,PO Box,Central,Yukon-Koyukuk Census Area,Area Code 907
182,99731,PO Box,"Fort Greely, Delta Jct, Delta Junction",Southeast Fairbanks Census Area,Area Code 907
183,99732,PO Box,Chicken,Southeast Fairbanks Census Area,Area Code 907
184,99733,PO Box,Circle,Yukon-Koyukuk Census Area,Area Code 907
185,99734,PO Box,Prudhoe Bay,North Slope Borough,Area Code 907
186,99736,PO Box,Deering,Northwest Arctic Borough,Area Code 907
187,99737,Standard,"Delta Junction, Delta Jct, Dot Lake",Southeast Fairbanks Census Area,Area Code 907
188,99738,PO Box,Eagle,Southeast Fairbanks Census Area,Area Code 907
189,99739,PO Box,Elim,Nome Census Area,Area Code 907
190,99740,PO Box,Fort Yukon,Yukon-Koyukuk Census Area,Area Code 907
191,99741,PO Box,Galena,Yukon-Koyukuk Census Area,Area Code 907
192,99742,PO Box,Gambell,Nome Census Area,Area Code 907
193,99743,Standard,Healy,Denali Borough,Area Code 907
194,99744,PO Box,"Anderson, Nenana",Denali Borough,Area Code 907
195,99745,PO Box,Hughes,Yukon-Koyukuk Census Area,Area Code 907
196,99746,PO Box,Huslia,Yukon-Koyukuk Census Area,Area Code 907
197,99747,PO Box,Kaktovik,North Slope Borough,Area Code 907
198,99748,PO Box,Kaltag,Yukon-Koyukuk Census Area,Area Code 907
199,99749,PO Box,Kiana,Northwest Arctic Borough,Area Code 907
200,99750,PO Box,Kivalina,Northwest Arctic Borough,Area Code 907
201,99751,PO Box,Kobuk,Northwest Arctic Borough,Area Code 907
202,99752,PO Box,Kotzebue,Northwest Arctic Borough,Area Code 907
203,99753,PO Box,Koyuk,Nome Census Area,Area Code 907
204,99754,PO Box,Koyukuk,Yukon-Koyukuk Census Area,Area Code 907
205,99755,PO Box,"Denali National Park, Denali Park",Denali Borough,Area Code 907
206,99756,PO Box,"Manley Hot Springs, Manley Spgs",Yukon-Koyukuk Census Area,Area Code 907
207,99757,PO Box,"Lake Minchumina, Lk Minchumina",Yukon-Koyukuk Census Area,Area Code 907
208,99758,PO Box,Minto,Yukon-Koyukuk Census Area,Area Code 907
209,99759,PO Box,"Point Lay, Barrow",North Slope Borough,Area Code 907
210,99760,Standard,Nenana,Yukon-Koyukuk Census Area,Area Code 907
211,99761,PO Box,Noatak,Northwest Arctic Borough,Area Code 907
212,99762,PO Box,"Nome, Diomede, Golovin, Little Diomede, Ltl Di...",Nome Census Area,Area Code 907
