,zipcode,type,commoncity,county,areacode
2267,95564,Standard,Samoa,Humboldt County,Area Code 707
2268,95565,Standard,Scotia,Humboldt County,Area Code 707
2269,95567,Standard,Smith River,Del Norte County,Area Code 707
2270,95568,Standard,Somes Bar,Siskiyou County,Area Code 530
2271,95569,Standard,Redcrest,Humboldt County,Area Code 707
2272,95570,Standard,Trinidad,Humboldt County,Area Code 707
2273,95571,PO Box,Weott,Humboldt County,
2274,95573,Standard,Willow Creek,Humboldt County,Area Code 530
2275,95585,Standard,Leggett,Mendocino County,Area Code 707
2276,95587,Standard,Piercy,Mendocino County,Area Code 707
2277,95589,Standard,Whitethorn,Humboldt County,Area Code 707
2278,95595,Standard,Zenia,Trinity County,
2279,95601,PO Box,Amador City,Amador County,Area Code 209
2280,95602,Standard,Auburn,Placer County,Area Code 530
2281,95603,Standard,Auburn,Placer County,Area Code 530
2282,95604,PO Box,"Auburn, Bowman",Placer County,Area Code 530
2283,95605,Standard,"West Sacramento, Broderick, Bryte, W Sacramento",Yolo County,Area Code 530Area Code 916
2284,95606,Standard,Brooks,Yolo County,
2285,95607,Standard,"Capay, Esparto",Yolo County,Area Code 530
2286,95608,Standard,Carmichael,Sacramento County,Area Code 916
2287,95609,PO Box,Carmichael,Sacramento County,Area Code 916
2288,95610,Standard,"Citrus Heights, Citrus Hts",Sacramento County,Area Code 916
2289,95611,PO Box,"Citrus Heights, Citrus Hts",Sacramento County,Area Code 916
2290,95612,Standard,Clarksburg,Yolo County,Area Code 916
2291,95613,PO Box,Coloma,El Dorado County,
2292,95614,Standard,Cool,El Dorado County,
2293,95615,Standard,Courtland,Sacramento County,Area Code 916
2294,95616,Standard,Davis,Yolo County,Area Code 530
2295,95617,PO Box,Davis,Yolo County,Area Code 530
2296,95618,Standard,"Davis, El Macero",Yolo County,Area Code 530
2297,95619,Standard,"Diamond Springs, Diamond Spgs",El Dorado County,Area Code 530
2298,95620,Standard,"Dixon, Liberty Farms",Solano County,Area Code 530Area Code 707
2299,95621,Standard,"Citrus Heights, Citrus Hts",Sacramento County,Area Code 916
2300,95623,Standard,El Dorado,El Dorado County,Area Code 530
2301,95624,Standard,Elk Grove,Sacramento County,Area Code 916
2302,95625,PO Box,Elmira,Solano County,Area Code 707
2303,95626,Standard,Elverta,Sacramento County,Area Code 916
2304,95627,Standard,Esparto,Yolo County,Area Code 530
2305,95628,Standard,Fair Oaks,Sacramento County,Area Code 916
2306,95629,Standard,Fiddletown,Amador County,
2307,95630,Standard,Folsom,Sacramento County,Area Code 916
2308,95631,Standard,Foresthill,Placer County,Area Code 530
2309,95632,Standard,Galt,Sacramento County,Area Code 209
2310,95633,Standard,Garden Valley,El Dorado County,
2311,95634,Standard,Georgetown,El Dorado County,Area Code 530
2312,95635,Standard,Greenwood,El Dorado County,
2313,95636,Standard,Grizzly Flats,El Dorado County,Area Code 530
2314,95637,Standard,Guinda,Yolo County,Area Code 530
2315,95638,Standard,Herald,Sacramento County,Area Code 209
2316,95639,PO Box,Hood,Sacramento County,
2317,95640,Standard,Ione,Amador County,Area Code 209
2318,95641,Standard,Isleton,Sacramento County,Area Code 916
2319,95642,Standard,Jackson,Amador County,Area Code 209
2320,95644,PO Box,"Kit Carson, Pioneer",El Dorado County,
2321,95645,Standard,"Knights Landing, Knights Lndg",Yolo County,Area Code 530
2322,95646,PO Box,"Kirkwood, Pioneer",Alpine County,
2323,95648,Standard,Lincoln,Placer County,Area Code 916
2324,95650,Standard,Loomis,Placer County,Area Code 916
2325,95651,Standard,Lotus,El Dorado County,
